route_id,vehicle_id,vehicle_instance_id,vehicle_type_id,energy_type,arc_seq,from_node,to_node,to_is_green,green_access_violation,depart_min,depart_time,arrival_min,arrival_time,service_start_min,service_start_time,leave_min,leave_time,travel_minutes,distance_km,waiting_minutes,late_minutes,remaining_weight_after_service,remaining_volume_after_service,energy_cost,carbon_cost,traffic_segments
S0001,T4_001,T4_001,4,新能源,1,0,73,False,False,760.0,12:40:00,855.349109,14:15:21,855.349109,14:15:21,875.349109,14:35:21,95.349109,72.713429,0.0,0.0,0.0,0.0,54.548962,10.831628,"[{""start_min"": 760.0, ""end_min"": 780.0, ""speed_kmh"": 9.8, ""distance_km"": 3.266667, ""period_label"": ""C""}, {""start_min"": 780.0, ""end_min"": 855.349109, ""speed_kmh"": 55.3, ""distance_km"": 69.446763, ""period_label"": ""S""}]"
S0001,T4_001,T4_001,4,新能源,2,73,0,False,False,875.349109,14:35:21,984.734788,16:24:44,984.734788,16:24:44,984.734788,16:24:44,109.385679,72.713429,0.0,0.0,0.0,0.0,40.234749,7.989296,"[{""start_min"": 875.349109, ""end_min"": 900.0, ""speed_kmh"": 55.3, ""distance_km"": 22.719904, ""period_label"": ""S""}, {""start_min"": 900.0, ""end_min"": 984.734788, ""speed_kmh"": 35.4, ""distance_km"": 49.993525, ""period_label"": ""N""}]"
S0003,T4_001,T4_001,4,新能源,1,0,74,False,False,990.0,16:30:00,1101.586235,18:21:35,1101.586235,18:21:35,1121.586235,18:41:35,111.586235,65.835878,0.0,251.586235,733.6912,2.100858,48.88295,9.706544,"[{""start_min"": 990.0, ""end_min"": 1020.0, ""speed_kmh"": 35.4, ""distance_km"": 17.7, ""period_label"": ""N""}, {""start_min"": 1020.0, ""end_min"": 1101.586235, ""speed_kmh"": 35.4, ""distance_km"": 48.135878, ""period_label"": ""FALLBACK""}]"
S0003,T4_001,T4_001,4,新能源,2,74,62,False,False,1121.586235,18:41:35,1124.419181,18:44:25,1151.0,19:11:00,1171.0,19:31:00,2.832946,1.671438,26.580819,0.0,0.0,0.0,1.002736,0.19911,"[{""start_min"": 1121.586235, ""end_min"": 1124.419181, ""speed_kmh"": 35.4, ""distance_km"": 1.671438, ""period_label"": ""FALLBACK""}]"
S0003,T4_001,T4_001,4,新能源,3,62,0,False,False,1171.0,19:31:00,1253.841284,20:53:50,1253.841284,20:53:50,1253.841284,20:53:50,82.841284,48.876357,0.0,0.0,0.0,0.0,27.010119,5.36332,"[{""start_min"": 1171.0, ""end_min"": 1253.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0004,T4_001,T4_001,4,新能源,1,0,62,False,False,1260.0,21:00:00,1342.841284,22:22:50,1342.841284,22:22:50,1362.841284,22:42:50,82.841284,48.876357,0.0,141.841284,0.0,0.0,36.258093,7.199663,"[{""start_min"": 1260.0, ""end_min"": 1342.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0004,T4_001,T4_001,4,新能源,2,62,0,False,False,1362.841284,22:42:50,1445.682568,00:05:41,1445.682568,00:05:41,1445.682568,00:05:41,82.841284,48.876357,0.0,0.0,0.0,0.0,27.010119,5.36332,"[{""start_min"": 1362.841284, ""end_min"": 1445.682568, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0005,T4_002,T4_002,4,新能源,1,0,62,False,False,1110.0,18:30:00,1192.841284,19:52:50,1192.841284,19:52:50,1212.841284,20:12:50,82.841284,48.876357,0.0,0.0,0.0,0.0,36.258093,7.199663,"[{""start_min"": 1110.0, ""end_min"": 1192.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0005,T4_002,T4_002,4,新能源,2,62,0,False,False,1212.841284,20:12:50,1295.682568,21:35:41,1295.682568,21:35:41,1295.682568,21:35:41,82.841284,48.876357,0.0,0.0,0.0,0.0,27.010119,5.36332,"[{""start_min"": 1212.841284, ""end_min"": 1295.682568, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0006,T4_002,T4_002,4,新能源,1,0,62,False,False,1320.0,22:00:00,1402.841284,23:22:50,1402.841284,23:22:50,1422.841284,23:42:50,82.841284,48.876357,0.0,201.841284,613.41376,2.00872,35.879077,7.124403,"[{""start_min"": 1320.0, ""end_min"": 1402.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0006,T4_002,T4_002,4,新能源,2,62,71,False,False,1422.841284,23:42:50,1437.115638,23:57:07,1437.115638,23:57:07,1457.115638,00:17:07,14.274354,8.421869,0.0,192.115638,-0.0,0.0,4.987175,0.990289,"[{""start_min"": 1422.841284, ""end_min"": 1437.115638, ""speed_kmh"": 35.4, ""distance_km"": 8.421869, ""period_label"": ""FALLBACK""}]"
S0006,T4_002,T4_002,4,新能源,3,71,0,False,False,1457.115638,00:17:07,1583.727744,02:23:44,1583.727744,02:23:44,1583.727744,02:23:44,126.612106,74.701143,0.0,0.0,-0.0,0.0,41.281447,8.197136,"[{""start_min"": 1457.115638, ""end_min"": 1583.727744, ""speed_kmh"": 35.4, ""distance_km"": 74.701143, ""period_label"": ""FALLBACK""}]"
S0007,T4_003,T4_003,4,新能源,1,0,71,False,False,1110.0,18:30:00,1236.612106,20:36:37,1236.612106,20:36:37,1256.612106,20:56:37,126.612106,74.701143,0.0,0.0,0.0,0.0,53.098663,10.543646,"[{""start_min"": 1110.0, ""end_min"": 1236.612106, ""speed_kmh"": 35.4, ""distance_km"": 74.701143, ""period_label"": ""FALLBACK""}]"
S0007,T4_003,T4_003,4,新能源,2,71,0,False,False,1256.612106,20:56:37,1383.224212,23:03:13,1383.224212,23:03:13,1383.224212,23:03:13,126.612106,74.701143,0.0,0.0,0.0,0.0,41.281447,8.197136,"[{""start_min"": 1256.612106, ""end_min"": 1383.224212, ""speed_kmh"": 35.4, ""distance_km"": 74.701143, ""period_label"": ""FALLBACK""}]"
