客户,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,0.0,33.3519976779755,38.2239504681723,69.4331203273497,35.0291721042173,43.02150907262,40.6381341683653,62.2027270678296,33.0274482720554,40.4299129933596,49.1386505873362,57.3831973821543,34.6264187146066,41.4401874736656,73.0984564016121,62.8844174000421,44.6391262412931,53.4460426870196,47.9877467968213,125.257286246269,39.4923891867904,64.9978136067238,85.3389654719604,75.4291582985746,47.091280004406,33.741155400417,78.9378763501466,78.4039957210389,61.3019076302096,50.3225523012789,16.5074864412621,52.6085502497646,90.1385396542749,57.715000446938,49.0789238373388,104.409465833404,55.3793157014999,60.8075791261873,68.5954097800849,97.0846821142156,54.4441557343952,56.0103666850807,62.5681831671082,38.5885376925765,46.3639002073975,42.355832844688,65.1980955375949,16.5303037002469,35.7786722765385,16.7279563395395,70.4912431802691,39.8685858888362,89.0877729079642,20.7136225099359,96.10547577874,66.0433059987077,80.451905816635,30.1567914916348,59.2201013636617,82.0772764262805,18.374091479689,56.923496284659,48.8763574638369,47.1798697931974,48.4740787989116,43.4372689227163,47.9706297508804,50.9541417844787,50.8885104499229,58.7624780806917,120.240603212148,74.7011425395969,41.5343313707057,72.7134292441274,65.8358784535625,68.4711425761791,37.624321582022,116.320894010554,72.5302327716031,71.0863033880453,50.7510888633695,56.7917579408888,59.5587450892945,9.07344962933037,104.266479050995,34.5159395116473,27.7232142494803,94.3019818438532,15.1899980405674,85.174319314423,70.1711760549331,58.4398276437998,17.4837361975474,83.0279468746045,51.1413948400115,105.26939428738,60.1156614698101,62.9727907973593,107.340240324148
1,33.3519976779755,0.0,11.5591865742799,24.5966514635866,10.7717051183547,26.1413051032828,21.8930891232221,13.8934572442123,5.69892229365984,4.67240266547665,16.020412090067,13.0323512757009,8.68513943741824,3.88400399407917,19.4873691079642,10.2483803378904,32.1049388361702,39.0986505796067,16.9126359441759,40.151218647566,43.8452077598346,39.784539655813,41.9264496915931,58.6871720632959,51.7433275685181,8.48940412505481,57.3978802758904,36.1624544696849,47.4589486393185,28.1376860491292,19.816280193908,18.8282436623515,56.1937716342728,42.4554488232212,39.1126082726288,52.4867638724915,32.4715278747457,74.7933753341867,25.598477264094,77.4949184656526,28.6451505940647,41.3741048330977,49.2283725821398,48.3116612413521,32.618009349533,44.9310697287208,55.9696424526116,19.3344310178589,8.11630628336423,32.5889654486928,39.1241133464389,20.0631818993422,35.9329172736943,24.972642319813,47.9920086424977,40.8766913267005,79.7908396573335,37.8820271547814,36.7962108959858,47.0824068559073,35.292415745818,54.2638534215367,30.890285619594,56.4232871672158,68.767583078294,63.2230873304927,28.2771110771335,49.5341094889978,34.5188972933829,33.3977642343646,51.9427497134839,27.6637894920575,30.7670026361624,33.410793161997,23.9701578103742,82.3592647337186,27.5422255379984,65.0452542244546,23.9674405556223,37.6005247739719,41.4076138639597,38.1367804270871,38.7619837257731,30.5891375228865,38.5699200584003,23.5952313975314,27.661254807328,45.2907275326801,39.9297272038705,34.6601789331776,44.6551496227202,43.7327747884359,19.9578258129542,49.4584834425726,82.4098402557028,44.1277385034917,22.4363119655873,35.2481375879307,59.1445805120351
2,38.2239504681723,11.5591865742799,0.0,15.4361992037182,15.307936800235,18.5500453457461,11.7421700560372,22.0870965902851,8.10820738042833,9.7111706650798,13.0153089807083,4.56778576350999,3.25681947060404,11.6099548162997,11.7322037607066,7.45460630619264,19.2161117108923,37.5838420688591,33.9316756671705,57.9067662050693,22.9261750405309,57.3828763959672,33.9188220492319,34.1371522386802,50.5566457259803,19.6975677147187,28.7854660718243,28.2311514595682,27.6814443065298,61.8038384931676,29.1942011359184,15.113194541877,49.4701782990784,17.4321626515841,18.3844294160909,40.5229662527158,48.5466604630788,39.6007188797978,34.8354559025607,42.830966684749,32.7161755712279,61.6368972697924,20.8011380567059,27.6003205705055,28.3905909329657,41.748802792911,52.3759729924384,29.7454913932629,13.2270591794755,53.9186436354283,38.7472044021463,36.9243588680241,44.2159184681455,17.8346822078752,41.8853964986174,45.1010092717356,39.5250898617389,51.3384370167028,30.6745363769437,48.4766515983014,51.9692084288889,46.4203434681865,19.8907297438863,63.251695435358,57.8985135192567,81.7162956249354,26.0853394589945,32.8838446251108,66.3558170148412,40.513071660163,71.1398084929921,25.4917350054224,33.6881073395926,30.606696006274,19.0726526805283,68.5134002218639,18.2326894746088,41.6162751316172,17.5884790970374,21.2938165633451,53.8410183196206,17.1474526153198,34.619965804984,42.9533156895294,41.6935903933522,11.7073365412781,19.5588918788711,35.0298845134683,37.4711041275403,50.7808953142608,62.0237742079071,43.4106685889837,26.0049661915377,31.3059004076804,33.1077128999752,49.5671582054571,35.7194133152175,13.3694384387278,73.001538481069
3,69.4331203273497,24.5966514635866,15.4361992037182,0.0,16.788172477423,11.0718347457288,3.34739360759766,21.2959736879295,13.6086705662278,23.2798674854721,5.64578471848081,11.7015420012891,10.832258685627,23.6822757580846,2.49226144348303,4.34291430649838,20.3020555727572,51.3616031858903,22.4092249557543,46.2462197396526,28.6798893806079,52.7398841374315,16.3092833319651,36.6643099236866,33.0695762645877,31.5774857416575,29.7039787494925,32.471753282569,37.9945799467337,60.0643473275955,44.4526168775335,14.0076349436723,45.9856784345029,16.3336064040591,29.013582925209,32.9657763534871,37.8444772271117,50.1726699393268,40.323020903121,52.0045600341383,49.7670113108933,61.5218854705139,23.569698053625,38.3796604295455,35.6397849952338,30.8956606178282,27.9052305762443,45.0401449909361,19.9551246575929,53.3594754632692,27.4111736555964,28.9276820527203,23.1761953644772,34.4200235853543,29.9630631448428,43.1631935217041,72.2570391156354,68.4159372895429,39.7288219165879,50.9433795997711,67.389086149186,34.8917775287407,24.0628332211715,64.6749609166201,58.144976275441,74.4085182402316,28.3838245437742,39.7253075317066,65.1787156156067,59.4394218043228,50.2722269565243,23.9135306287517,66.3981882761986,31.0096152880126,27.3485064446294,53.8819142234167,18.4798959871528,39.7048816733826,7.80573002838597,23.0060497662669,52.3827060960387,21.6720084514621,36.2974202425033,66.0308195045164,41.9858337432993,13.3625057079839,45.6119566875617,38.9924073300594,47.0954272418367,24.2805776328449,47.851586758596,34.2840278736792,42.001530492809,28.3115276372056,52.8919946850428,21.5942182175245,33.1228705405801,11.9933205976553,36.9873233705328
4,35.0291721042173,10.7717051183547,15.307936800235,16.788172477423,0.0,15.7912951521555,17.2158574292641,6.58889467656138,9.39290699057591,15.4736837178177,13.2752152140871,10.6643790253796,15.2251657223198,9.44655503618438,17.8014867731269,10.2004928760486,30.7143851966442,68.8540899721203,9.06096568153745,51.0474599632732,31.0622284182942,34.376373155808,22.3258671904708,46.5813781164651,35.2692862492829,22.2302570662719,43.892661292427,38.1308166379083,54.3753672029323,34.9822077604724,34.5231546573708,35.7884599134638,67.6296806806669,28.0461712221743,50.8032184066061,58.7087540718188,24.6386141035544,46.8962666300532,15.1555339690084,65.0206793385085,23.2587510344336,42.3399474762911,32.9193257473148,37.5840400025245,40.6800066809784,66.191750868182,43.8670872696516,39.2715836970908,18.1991089265287,57.0686729728295,28.1528184832499,18.1802098644816,36.3563291616488,30.5553403417406,41.8688663949242,33.4643484201281,85.6251264466224,41.6975741419756,46.3159273470348,36.2870482791943,56.0709363021087,59.3317867348197,13.1829387285998,47.2227522900945,65.4775900221404,55.2528873252893,36.2227275193813,78.6237726741239,42.3023007547215,31.637417927848,43.8371421584064,28.3773062621877,32.1579110530353,21.4185007535915,18.2157569368053,52.2939605571587,36.8819987757614,54.9991492793869,19.473298513291,47.0858906231237,34.4883482311186,36.2514808165844,45.001526116119,43.2992111563905,35.7387488155996,22.2945430778164,38.6269762538879,59.9372648766387,28.1375708945042,29.2630766963656,37.9666918596561,40.0237331859447,37.153069131426,41.8335586672798,44.5408123224606,37.0562231351064,12.6125035260631,31.5229286821533,58.0362741940755
5,43.02150907262,26.1413051032828,18.5500453457461,11.0718347457288,15.7912951521555,0.0,4.67620974704021,8.53125800399008,23.1526059052447,20.0586306157957,2.91019945962227,10.7031145138654,14.1933849792905,30.5796539959578,14.8868150113509,6.68013039915963,39.0710138669679,44.6420210628129,25.1994618516136,46.643530032104,26.4723457287389,48.9401532551585,13.248685966087,28.0398776286516,49.242330539519,37.3505984464971,37.2237736646362,24.7535359170159,44.2357345271266,58.4748205950814,45.1934224937534,28.5041871764021,39.3701710981636,10.8595911584533,31.4668997085127,45.0299293882187,32.0191588446882,69.0596425157343,28.4223287346193,50.1493056974393,42.9203282400816,52.1046002259439,17.067203877692,48.9393552744169,42.1722296688266,48.1712812669374,45.9557184289168,58.8458094805472,30.8372926058745,60.4630524127523,23.2705330254481,20.9073849109594,19.3853000663704,28.3444809044925,35.2682799749504,37.7599132441096,62.7808703244272,52.3537806972065,41.060937108935,37.7707211845963,65.2704184241828,64.7818805734288,9.42434444791732,39.6954917955762,45.1769942238213,58.1890789934663,33.7717027036153,65.0511968651111,53.4010003929998,40.5671416833765,32.4222089448991,24.0171345213618,67.6150578987335,18.2001682191073,10.8433728938003,63.0107016643015,22.2116389630134,41.4748142133551,17.6158254496852,31.4535517316674,31.9097661231581,28.4183772456261,47.6607274832134,76.8605927317748,28.135655259301,20.060162485653,48.6981489812,37.9144141483739,48.745178722079,34.1927275388264,32.5595371434586,32.6703991756988,48.0843166637374,48.2540238011018,41.2634908978364,34.6831420859615,16.2535002164793,28.5195071287247,34.8378783833391
6,40.6381341683653,21.8930891232221,11.7421700560372,3.34739360759766,17.2158574292641,4.67620974704021,0.0,20.1165896040752,13.0516288507642,26.7203376378605,4.63195922390589,11.6354202237926,12.7353371446178,28.6987761664511,6.36291326286352,9.24780820325743,23.8959282346044,43.095663305421,28.5056651497827,36.7701099004452,35.8534386996024,53.8369452039718,11.8647722306993,26.6039606738589,64.864902539843,37.6871987921226,23.6596933939547,30.4152006821055,54.3744883426439,40.1817296847739,45.9471266296658,17.4908151884181,49.9616883521311,13.3750319598218,23.1063436970456,27.3678236600111,47.5264288938258,49.1380251106318,26.8961849715301,43.0882518120078,50.9249320025242,57.8325404541612,12.9482355554337,34.6917615645221,32.6898952445632,27.0042715398044,28.729440297924,41.4680114288169,21.649608479228,46.3422737458656,23.5646329178518,33.2173512047424,14.4438390711925,23.3706971339114,27.7882135154055,34.6380219193755,76.5549803119487,50.2311424947256,54.7371864517118,38.5948619005936,75.8544256138415,44.6808038378927,23.9967369869211,69.0280410350642,52.9159033051359,55.6397320028549,22.0606935233033,33.8455362227388,50.2299733872938,53.7732162766522,37.4443034497848,28.0809560616048,68.77338234775,32.2859114639934,25.6352233134322,65.0923524520054,14.4871487638179,26.7297881311596,12.2632008405904,18.4255972102169,45.9793111181112,20.0644486558759,31.7308914311667,60.4113930239301,34.7862998140842,17.8295331936909,48.3706116773522,30.6480759125906,51.8814172765038,30.9971288715661,41.1585917712591,25.7596613173319,34.8179655291996,33.0411381537971,36.3107725048259,24.5051249180655,28.8199979160499,18.3178205065625,53.3663813691836
7,62.2027270678296,13.8934572442123,22.0870965902851,21.2959736879295,6.58889467656138,8.53125800399008,20.1165896040752,0.0,11.7575403179385,15.4016375716969,16.8706644848017,16.0934349474484,16.1458831155126,14.5100321321732,23.5766617264917,13.4190354749433,41.1614813822678,60.1361467940271,16.9294037400398,53.0388125573217,56.0523279677362,49.8005117204431,19.8396023604412,39.3543043816456,26.5638374477505,22.0937625344604,42.9992974178867,44.8861215813736,63.762464668378,36.1557842878897,26.7349807842195,44.1818907645327,43.1156329053547,25.4906664496235,53.5913851572297,57.1250434537018,27.9340670186074,73.4699457630092,16.3382799125469,44.7132876026012,30.4227922414604,50.6408682128451,22.5035523718088,63.5834358512992,46.537905577079,45.9946204554189,48.4337358777987,29.1163525073574,22.4983901367558,67.7146041668468,34.2809088239928,18.1943220404736,30.2527968439433,33.0130635961757,43.2036347091589,24.4581515753967,61.5820027381657,45.7692607901677,70.1020973160698,26.785959133703,41.6403335780013,56.9881005581141,13.7511888316168,25.9604613899115,75.2277350236002,39.6813868919714,38.3107478063818,58.936867786229,52.3155384047283,41.8560460798789,43.8489901302504,20.0434605265363,39.9044717104665,12.45259310032,12.136445388364,78.5316249436719,33.9357810443715,42.2416751961848,24.9267112397792,40.3443603037103,30.2922318845803,35.584785343755,47.9219004100156,61.9985682402797,27.0782273941161,24.6817140165554,42.5403311796232,40.2244695451053,57.2122165524849,37.7107449436324,34.1818294998013,36.1531517538209,33.0625483142745,46.8302828952983,82.8090633646195,41.2834382788214,9.16796793235972,24.1015171234662,48.7719227213316
8,33.0274482720554,5.69892229365984,8.10820738042833,13.6086705662278,9.39290699057591,23.1526059052447,13.0516288507642,11.7575403179385,0.0,5.31557681408088,16.6880162405573,7.08179189286235,6.96025613196571,6.54877425827465,14.2075360276101,13.4650795236775,28.9007550099781,51.0135897173341,13.930838106251,61.0440742904679,28.3761774795855,50.9854596100973,26.7021492610562,57.2323989535272,54.0212891807127,11.5313339508543,40.311887287973,35.4877490019344,48.2424008702512,41.3460339347156,19.6199155929032,22.5398294178598,60.6548967895909,38.6960286338675,19.0489810253959,52.9926330569476,44.6623989004542,39.5610414655036,31.0089228111335,72.4613525861638,36.490751683118,45.8002151493273,37.1811493199384,37.7170226180453,48.1377627463537,53.3356041195723,65.8600622928106,17.8027713696946,13.7925916290407,43.1035069493832,39.9430741976173,32.8010986477349,32.6219620891613,14.81026398792,42.8461772663654,52.618930649427,81.2001561134758,43.949917206893,34.823195335143,54.2144813414328,37.8748273800263,59.6933272733126,24.2539008924133,40.7187800314727,35.4695258167516,45.9294721736205,26.2744646423907,43.3595506515504,56.9295024970275,54.0308266675897,64.7788690141216,31.3278694724015,38.6693515739238,21.880176044126,23.2092631382123,61.6751841895541,23.569294721362,46.877343471954,23.5726854598094,28.1431933341836,35.4989458333902,22.6704912921254,34.0607190113871,25.6547437393999,51.9557905834764,16.3877711626779,29.6717911708359,52.0497741540129,27.0616503773395,57.55011738715,38.6396001520818,48.9599270582072,22.5504264562508,49.2239732586723,66.8645232337871,54.0720846135789,32.4949833374449,24.6739966925644,74.5974224381917
9,40.4299129933596,4.67240266547665,9.7111706650798,23.2798674854721,15.4736837178177,20.0586306157957,26.7203376378605,15.4016375716969,5.31557681408088,0.0,32.1724085475057,18.9662868465391,16.9340425448247,5.56516846602871,19.1906492686469,21.7470554978473,33.7204845154081,58.0310700930582,14.8711922742946,74.4717879373168,22.6309808129801,44.9184197226755,32.6272110921486,44.1620026196789,31.3169565940495,5.34342422470726,40.0905469692099,36.2605133688981,55.035106773662,54.0331892404162,13.9864115449391,18.0316494784561,69.6063772670404,34.0829715099749,28.3058114260293,64.3044272573028,37.1217257723398,59.4240351973598,28.9720179871139,69.3179050013059,36.9507348712351,39.2228053064467,55.8601292945617,39.5187453015215,30.5598834893378,42.9420417062675,62.502987189682,23.7626093046417,4.6106163525651,29.1606793374097,43.1829323812563,29.7854450896765,30.4471026576924,28.9023445960199,56.9439454940533,48.1950509620567,70.4384213023844,43.9754174555229,53.6927397702697,67.5595722280785,39.1656942399124,49.0991187912774,28.450271919652,42.5358676791064,42.738822632437,44.3078824384003,30.3062872976976,67.8963272027737,57.6501087465996,47.5121517126104,74.8570304921003,32.5685779852027,28.7681763890574,27.2887403258621,35.0228070460726,70.7693372918588,27.6047280748213,43.3173791264638,30.0929350780612,39.2307047411221,35.2074520933461,39.5842649759127,44.3378179938342,36.0077820805679,50.5200759014564,23.9651478489062,31.3207968124296,46.7299673710016,31.0564221232861,51.637249415489,56.3479246055756,42.942959908502,15.9587107549883,59.3515276011652,63.8845502405601,50.7622367589935,20.7166138431025,24.9786923153774,81.6919604396663
