event_id,route_id,vehicle_id,vehicle_type_id,stop_seq,customer_id,original_customer_id,service_unit_ids,delivered_weight,delivered_volume,arrival_min,service_start_min,leave_min,waiting_minutes,late_minutes
Q3_R_NEW_01,S0001,T4_001,4,1,73,73,"[""C073_S001_OF_004"", ""C073_S002_OF_004"", ""C073_S003_OF_004"", ""C073_S004_OF_004""]",2996.466,7.5462,855.3491094872992,855.3491094872992,875.3491094872992,0.0,0.0
Q3_R_NEW_01,S0002,T4_001,4,1,74,74,"[""C074_S001_OF_006"", ""C074_S002_OF_006"", ""C074_S003_OF_006"", ""C074_S004_OF_006""]",2948.5002693333336,7.29248,1101.5862346670551,1101.5862346670551,1121.5862346670551,0.0,251.58623466705512
Q3_R_NEW_01,S0003,T4_002,4,1,74,74,"[""C074_S005_OF_006"", ""C074_S006_OF_006""]",1474.2501346666668,3.64624,850.0136113420208,850.0136113420208,870.0136113420208,0.0,0.013611342020794837
Q3_R_NEW_01,S0003,T4_002,4,2,62,62,"[""C062_S001_OF_012"", ""C062_S002_OF_012""]",1467.3824000000002,4.201716333333333,871.8271067593831,1151.0,1171.0,279.1728932406169,0.0
Q3_R_NEW_01,S0004,T4_001,4,1,62,62,"[""C062_S003_OF_012"", ""C062_S004_OF_012"", ""C062_S005_OF_012"", ""C062_S006_OF_012""]",2934.7648000000004,8.403432666666665,1342.8412838370116,1342.8412838370116,1362.8412838370116,0.0,141.8412838370116
Q3_R_NEW_01,S0005,T4_002,4,1,62,62,"[""C062_S007_OF_012"", ""C062_S008_OF_012"", ""C062_S009_OF_012"", ""C062_S010_OF_012""]",2934.7648000000004,8.403432666666665,1342.8412838370116,1342.8412838370116,1362.8412838370116,0.0,141.8412838370116
Q3_R_NEW_01,S0006,T4_003,4,1,62,62,"[""C062_S011_OF_012"", ""C062_S012_OF_012""]",1467.3824000000002,4.201716333333333,1162.8412838370116,1162.8412838370116,1182.8412838370116,0.0,0.0
Q3_R_NEW_01,S0006,T4_003,4,2,71,71,"[""C071_S001_OF_005"", ""C071_S002_OF_005""]",1226.82752,4.01744,1197.1156382535585,1197.1156382535585,1217.1156382535585,0.0,0.0
Q3_R_NEW_01,S0007,T4_004,4,1,71,71,"[""C071_S003_OF_005"", ""C071_S004_OF_005"", ""C071_S005_OF_005""]",1840.2412800000002,6.026159999999999,1156.6121059993168,1159.0,1179.0,2.387894000683218,0.0
Q3_R_NEW_01,S0007,T4_004,4,2,55,55,"[""C055_S001_OF_017""]",717.5086647058824,1.8744817647058822,1196.3881586976188,1196.3881586976188,1216.3881586976188,0.0,44.38815869761879
