vehicle_id,vehicle_type_id,energy_type,max_weight,max_volume,route_count,first_depart_min,first_depart_time,last_return_min,last_return_time,total_distance_km,total_energy_cost,total_carbon_cost,total_waiting_cost,total_late_cost,startup_cost,route_ids
T1_001,1,燃油,3000.0,13.5,3,580,09:40:00,1515.781274,01:15:47,461.93332,1082.070799,235.40372,3.874938,470.237054,400.0,"[""S0029"", ""S0031"", ""S0033""]"
T1_002,1,燃油,3000.0,13.5,3,520,08:40:00,1452.725904,00:12:44,506.189696,1177.360056,256.133829,0.098972,147.253711,400.0,"[""S0036"", ""S0032"", ""S0053""]"
T1_003,1,燃油,3000.0,13.5,3,555,09:15:00,1367.019958,22:47:01,438.193634,1025.325671,223.058859,0.0,0.0,400.0,"[""S0039"", ""S0083"", ""S0034""]"
T1_004,1,燃油,3000.0,13.5,2,670,11:10:00,1387.339497,23:07:20,342.662944,781.580137,170.032194,0.809117,522.320627,400.0,"[""S0041"", ""S0035""]"
T1_005,1,燃油,3000.0,13.5,2,532,08:52:00,1422.266796,23:42:16,434.042201,1010.779997,219.894458,21.914367,237.125257,400.0,"[""S0037"", ""S0038""]"
T1_006,1,燃油,3000.0,13.5,1,580,09:40:00,1336.932598,22:16:56,173.090902,409.605663,89.109416,133.804237,0.0,400.0,"[""S0040""]"
T1_007,1,燃油,3000.0,13.5,4,563,09:23:00,1368.334069,22:48:20,384.664066,879.936905,191.429638,1.222044,161.097263,400.0,"[""S0042"", ""S0081"", ""S0043"", ""S0044""]"
T1_008,1,燃油,3000.0,13.5,4,589,09:49:00,1487.803077,00:47:48,403.436103,934.396604,203.277306,18.028335,110.907031,400.0,"[""S0068"", ""S0062"", ""S0045"", ""S0052""]"
T1_009,1,燃油,3000.0,13.5,3,594,09:54:00,1350.808602,22:30:49,294.641857,700.910303,152.48253,0.371075,401.798451,400.0,"[""S0065"", ""S0046"", ""S0048""]"
T1_010,1,燃油,3000.0,13.5,4,589,09:49:00,1361.007097,22:41:00,356.403843,825.223679,179.526815,6.068884,215.41009,400.0,"[""S0067"", ""S0061"", ""S0049"", ""S0051""]"
T1_011,1,燃油,3000.0,13.5,4,600,10:00:00,1422.503425,23:42:30,376.561658,869.287783,189.112929,0.0,122.362162,400.0,"[""S0078"", ""S0054"", ""S0059"", ""S0102""]"
T1_012,1,燃油,3000.0,13.5,2,780,13:00:00,1272.105568,21:12:06,283.723916,663.091584,144.255095,0.0,159.210653,400.0,"[""S0055"", ""S0057""]"
T1_013,1,燃油,3000.0,13.5,2,780,13:00:00,1270.746106,21:10:45,284.681048,660.275778,143.642518,0.0,189.477544,400.0,"[""S0056"", ""S0060""]"
T1_014,1,燃油,3000.0,13.5,5,600,10:00:00,1420.794344,23:40:48,382.38384,901.289257,196.074826,0.0,380.588317,400.0,"[""S0066"", ""S0063"", ""S0071"", ""S0074"", ""S0105""]"
T1_015,1,燃油,3000.0,13.5,3,561,09:21:00,1271.034928,21:11:02,284.053066,683.928081,148.78806,28.021015,196.96657,400.0,"[""S0064"", ""S0072"", ""S0075""]"
T1_016,1,燃油,3000.0,13.5,4,605,10:05:00,1460.643769,00:20:39,353.472374,816.068931,177.535206,7.72409,716.13586,400.0,"[""S0069"", ""S0070"", ""S0073"", ""S0094""]"
T1_017,1,燃油,3000.0,13.5,3,660,11:00:00,1447.782708,00:07:47,279.457227,632.888839,137.684509,51.162686,374.384433,400.0,"[""S0079"", ""S0085"", ""S0101""]"
T1_018,1,燃油,3000.0,13.5,2,662,11:02:00,1310.122466,21:50:07,131.207618,293.064848,63.756046,95.890595,173.589147,400.0,"[""S0084"", ""S0086""]"
T1_019,1,燃油,3000.0,13.5,3,780,13:00:00,1415.967447,23:35:58,352.631702,836.161055,181.906233,0.0,645.377226,400.0,"[""S0087"", ""S0088"", ""S0089""]"
T1_020,1,燃油,3000.0,13.5,2,580,09:40:00,1447.742344,00:07:45,251.427957,586.75192,127.647456,110.448125,417.631106,400.0,"[""S0090"", ""S0091""]"
T1_021,1,燃油,3000.0,13.5,3,660,11:00:00,1351.942827,22:31:57,325.927191,761.126559,165.582533,0.088186,297.535676,400.0,"[""S0104"", ""S0092"", ""S0093""]"
T1_022,1,燃油,3000.0,13.5,2,866,14:26:00,1259.931762,20:59:56,211.884696,486.022485,105.73384,0.0,104.971568,400.0,"[""S0095"", ""S0096""]"
T1_023,1,燃油,3000.0,13.5,2,882,14:42:00,1259.931762,20:59:56,188.719479,441.823115,96.118299,0.050921,104.971568,400.0,"[""S0097"", ""S0098""]"
T1_024,1,燃油,3000.0,13.5,3,890,14:50:00,1452.503425,00:12:30,275.526097,638.944069,139.00182,0.0,224.061835,400.0,"[""S0099"", ""S0100"", ""S0103""]"
T4_001,4,新能源,3000.0,15.0,4,587,09:47:00,1445.682568,00:05:41,420.428983,273.695301,54.346875,0.0,327.856265,400.0,"[""S0076"", ""S0001"", ""S0002"", ""S0004""]"
T4_002,4,新能源,3000.0,15.0,3,600,10:00:00,1445.682568,00:05:41,250.884572,164.133071,32.591423,93.057631,118.212413,400.0,"[""S0077"", ""S0003"", ""S0005""]"
