route_id,vehicle_id,vehicle_type_id,stop_seq,customer_id,service_unit_ids,delivered_weight,delivered_volume,customer_tw_start,customer_tw_start_time,customer_tw_end,customer_tw_end_time,arrival_min,arrival_time,service_start_min,service_start_time,leave_min,leave_time,waiting_minutes,late_minutes
S0001,T4_001,4,1,73,"[""C073_S001_OF_004"", ""C073_S002_OF_004"", ""C073_S003_OF_004"", ""C073_S004_OF_004""]",2996.466,7.5462,802,13:22:00,857,14:17:00,855.349109,14:15:21,855.349109,14:15:21,875.349109,14:35:21,0.0,0.0
S0002,T4_001,4,1,74,"[""C074_S001_OF_006"", ""C074_S002_OF_006"", ""C074_S003_OF_006"", ""C074_S004_OF_006""]",2948.500269,7.29248,791,13:11:00,850,14:10:00,1101.586235,18:21:35,1101.586235,18:21:35,1121.586235,18:41:35,0.0,251.586235
S0003,T4_002,4,1,74,"[""C074_S005_OF_006"", ""C074_S006_OF_006""]",1474.250135,3.64624,791,13:11:00,850,14:10:00,850.013611,14:10:01,850.013611,14:10:01,870.013611,14:30:01,0.0,0.013611
S0003,T4_002,4,2,62,"[""C062_S001_OF_012"", ""C062_S002_OF_012""]",1467.3824,4.201716,1151,19:11:00,1201,20:01:00,871.827107,14:31:50,1151.0,19:11:00,1171.0,19:31:00,279.172893,0.0
S0004,T4_001,4,1,62,"[""C062_S003_OF_012"", ""C062_S004_OF_012"", ""C062_S005_OF_012"", ""C062_S006_OF_012""]",2934.7648,8.403433,1151,19:11:00,1201,20:01:00,1342.841284,22:22:50,1342.841284,22:22:50,1362.841284,22:42:50,0.0,141.841284
S0005,T4_002,4,1,62,"[""C062_S007_OF_012"", ""C062_S008_OF_012"", ""C062_S009_OF_012"", ""C062_S010_OF_012""]",2934.7648,8.403433,1151,19:11:00,1201,20:01:00,1342.841284,22:22:50,1342.841284,22:22:50,1362.841284,22:42:50,0.0,141.841284
S0006,T4_003,4,1,62,"[""C062_S011_OF_012"", ""C062_S012_OF_012""]",1467.3824,4.201716,1151,19:11:00,1201,20:01:00,1162.841284,19:22:50,1162.841284,19:22:50,1182.841284,19:42:50,0.0,0.0
S0006,T4_003,4,2,71,"[""C071_S001_OF_005"", ""C071_S002_OF_005""]",1226.82752,4.01744,1159,19:19:00,1245,20:45:00,1197.115638,19:57:07,1197.115638,19:57:07,1217.115638,20:17:07,0.0,0.0
S0007,T4_004,4,1,71,"[""C071_S003_OF_005"", ""C071_S004_OF_005"", ""C071_S005_OF_005""]",1840.24128,6.02616,1159,19:19:00,1245,20:45:00,1156.612106,19:16:37,1159.0,19:19:00,1179.0,19:39:00,2.387894,0.0
S0007,T4_004,4,2,55,"[""C055_S001_OF_017""]",717.508665,1.874482,1075,17:55:00,1152,19:12:00,1196.388159,19:56:23,1196.388159,19:56:23,1216.388159,20:16:23,0.0,44.388159
