route_id,vehicle_id,vehicle_type_id,arc_seq,from_node,to_node,depart_min,depart_time,arrival_min,arrival_time,service_start_min,service_start_time,leave_min,leave_time,travel_minutes,distance_km,waiting_minutes,late_minutes,remaining_weight_after_service,remaining_volume_after_service,energy_cost,carbon_cost,traffic_segments
S0001,T1_022,1,1,0,73,760.0,12:40:00,855.349109,14:15:21,855.349109,14:15:21,875.349109,14:35:21,95.349109,72.713429,0.0,0.0,0.0,0.0,197.177075,42.89573,"[{""start_min"": 760.0, ""end_min"": 780.0, ""speed_kmh"": 9.8, ""distance_km"": 3.266667, ""period_label"": ""C""}, {""start_min"": 780.0, ""end_min"": 855.349109, ""speed_kmh"": 55.3, ""distance_km"": 69.446763, ""period_label"": ""S""}]"
S0001,T1_022,1,2,73,0,875.349109,14:35:21,984.734788,16:24:44,984.734788,16:24:44,984.734788,16:24:44,109.385679,72.713429,0.0,0.0,0.0,0.0,142.009306,30.894022,"[{""start_min"": 875.349109, ""end_min"": 900.0, ""speed_kmh"": 55.3, ""distance_km"": 22.719904, ""period_label"": ""S""}, {""start_min"": 900.0, ""end_min"": 984.734788, ""speed_kmh"": 35.4, ""distance_km"": 49.993525, ""period_label"": ""N""}]"
S0002,T1_023,1,1,0,74,771.0,12:51:00,849.836396,14:09:50,849.836396,14:09:50,869.836396,14:29:50,78.836396,65.835878,0.0,0.0,0.0,0.0,177.046512,38.516341,"[{""start_min"": 771.0, ""end_min"": 780.0, ""speed_kmh"": 9.8, ""distance_km"": 1.47, ""period_label"": ""C""}, {""start_min"": 780.0, ""end_min"": 849.836396, ""speed_kmh"": 55.3, ""distance_km"": 64.365878, ""period_label"": ""S""}]"
S0002,T1_023,1,2,74,0,869.836396,14:29:50,964.466255,16:04:28,964.466255,16:04:28,964.466255,16:04:28,94.629858,65.835878,0.0,0.0,0.0,0.0,128.263769,27.90369,"[{""start_min"": 869.836396, ""end_min"": 900.0, ""speed_kmh"": 55.3, ""distance_km"": 27.800788, ""period_label"": ""S""}, {""start_min"": 900.0, ""end_min"": 964.466255, ""speed_kmh"": 35.4, ""distance_km"": 38.03509, ""period_label"": ""N""}]"
S0003,T1_024,1,1,0,74,772.0,12:52:00,850.013611,14:10:01,850.013611,14:10:01,870.013611,14:30:01,78.013611,65.835878,0.0,0.013611,1467.3824,4.201716,176.857191,38.475154,"[{""start_min"": 772.0, ""end_min"": 780.0, ""speed_kmh"": 9.8, ""distance_km"": 1.306667, ""period_label"": ""C""}, {""start_min"": 780.0, ""end_min"": 850.013611, ""speed_kmh"": 55.3, ""distance_km"": 64.529212, ""period_label"": ""S""}]"
S0003,T1_024,1,2,74,62,870.013611,14:30:01,871.827107,14:31:50,1151.0,19:11:00,1171.0,19:31:00,1.813495,1.671438,279.172893,0.0,0.0,-0.0,3.84337,0.836122,"[{""start_min"": 870.013611, ""end_min"": 871.827107, ""speed_kmh"": 55.3, ""distance_km"": 1.671438, ""period_label"": ""S""}]"
S0003,T1_024,1,3,62,0,1171.0,19:31:00,1253.841284,20:53:50,1253.841284,20:53:50,1253.841284,20:53:50,82.841284,48.876357,0.0,0.0,0.0,-0.0,96.118114,20.910426,"[{""start_min"": 1171.0, ""end_min"": 1253.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0004,T4_008,4,1,0,62,1080.0,18:00:00,1162.841284,19:22:50,1162.841284,19:22:50,1182.841284,19:42:50,82.841284,48.876357,0.0,0.0,0.0,0.0,36.258093,7.199663,"[{""start_min"": 1080.0, ""end_min"": 1162.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0004,T4_008,4,2,62,0,1182.841284,19:42:50,1265.682568,21:05:41,1265.682568,21:05:41,1265.682568,21:05:41,82.841284,48.876357,0.0,0.0,0.0,0.0,27.010119,5.36332,"[{""start_min"": 1182.841284, ""end_min"": 1265.682568, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
S0005,T4_009,4,1,0,62,1080.0,18:00:00,1162.841284,19:22:50,1162.841284,19:22:50,1182.841284,19:42:50,82.841284,48.876357,0.0,0.0,0.0,0.0,36.258093,7.199663,"[{""start_min"": 1080.0, ""end_min"": 1162.841284, ""speed_kmh"": 35.4, ""distance_km"": 48.876357, ""period_label"": ""FALLBACK""}]"
