vehicle_id,vehicle_type_id,energy_type,max_weight,max_volume,route_count,first_depart_min,first_depart_time,last_return_min,last_return_time,total_distance_km,total_energy_cost,total_carbon_cost,total_waiting_cost,total_late_cost,startup_cost,route_ids
T1_001,1,燃油,3000.0,13.5,1,575,09:35:00,1119.582882,18:39:35,101.959493,233.058692,50.70175,112.028761,0.0,400.0,"[""S0058""]"
T1_002,1,燃油,3000.0,13.5,2,580,09:40:00,1171.342956,19:31:21,275.84772,645.088889,140.338622,3.874938,350.257713,400.0,"[""S0029"", ""S0046""]"
T1_003,1,燃油,3000.0,13.5,1,580,09:40:00,1336.932598,22:16:56,173.090902,409.605663,89.109416,133.804237,0.0,400.0,"[""S0040""]"
T1_004,1,燃油,3000.0,13.5,1,580,09:40:00,1184.27823,19:44:17,128.859974,303.186037,65.957903,110.448125,0.0,400.0,"[""S0090""]"
T1_005,1,燃油,3000.0,13.5,3,583,09:43:00,1486.089412,00:46:05,429.870102,980.787703,213.369656,0.22536,21.490772,400.0,"[""S0023"", ""S0098"", ""S0018""]"
T1_006,1,燃油,3000.0,13.5,2,583,09:43:00,1230.159805,20:30:10,317.347318,745.238476,162.126092,0.0,0.0,400.0,"[""S0024"", ""S0033""]"
T1_007,1,燃油,3000.0,13.5,2,584,09:44:00,1186.034928,19:46:02,186.221625,427.205241,92.938191,64.91064,0.044515,400.0,"[""S0025"", ""S0075""]"
T1_008,1,燃油,3000.0,13.5,3,587,09:47:00,1283.285848,21:23:17,324.450108,753.1635,163.850175,10.49544,0.019922,400.0,"[""S0076"", ""S0104"", ""S0095""]"
T1_009,1,燃油,3000.0,13.5,3,594,09:54:00,1328.325965,22:08:20,345.444057,814.6284,177.22182,1.16704,74.78839,400.0,"[""S0065"", ""S0061"", ""S0007""]"
T1_010,1,燃油,3000.0,13.5,3,600,10:00:00,1218.58202,20:18:35,293.543388,684.561625,148.925887,0.098972,36.179155,400.0,"[""S0077"", ""S0030"", ""S0032""]"
T1_011,1,燃油,3000.0,13.5,4,600,10:00:00,1368.953367,22:48:57,356.33244,838.733834,182.465939,0.0,45.933675,400.0,"[""S0078"", ""S0031"", ""S0074"", ""S0017""]"
T1_012,1,燃油,3000.0,13.5,3,605,10:05:00,1103.808602,18:23:49,216.263596,503.429448,109.520713,0.0,0.0,400.0,"[""S0069"", ""S0083"", ""S0048""]"
T1_013,1,燃油,3000.0,13.5,2,620,10:20:00,1242.503425,20:42:30,189.172973,447.003508,97.24529,60.994637,0.0,400.0,"[""S0070"", ""S0103""]"
T1_014,1,燃油,3000.0,13.5,3,626,10:26:00,1253.794344,20:53:48,258.704671,607.163604,132.088003,0.050921,0.0,400.0,"[""S0022"", ""S0096"", ""S0105""]"
T1_015,1,燃油,3000.0,13.5,2,634,10:34:00,1223.888128,20:23:53,267.852752,623.058664,135.545962,9.566558,216.548104,400.0,"[""S0066"", ""S0027""]"
T1_016,1,燃油,3000.0,13.5,2,634,10:34:00,1076.71279,17:56:43,244.230442,572.681441,124.586434,0.0,0.0,400.0,"[""S0067"", ""S0026""]"
T1_017,1,燃油,3000.0,13.5,3,634,10:34:00,1147.334069,19:07:20,229.386503,531.904465,115.715432,1.222044,0.124734,400.0,"[""S0068"", ""S0081"", ""S0044""]"
T1_018,1,燃油,3000.0,13.5,1,646,10:46:00,1149.782518,19:09:47,166.083047,380.987834,82.883628,27.758193,85.595374,400.0,"[""S0015""]"
T1_019,1,燃油,3000.0,13.5,2,646,10:46:00,1188.942827,19:48:57,226.012336,546.593926,118.911113,7.877846,0.721773,400.0,"[""S0082"", ""S0093""]"
T1_020,1,燃油,3000.0,13.5,3,660,11:00:00,1296.571697,21:36:34,212.870145,495.387072,107.7711,15.434937,0.0,400.0,"[""S0079"", ""S0073"", ""S0020""]"
T1_021,1,燃油,3000.0,13.5,1,662,11:02:00,1134.107835,18:54:06,82.984416,201.102508,43.749705,75.68904,57.38586,400.0,"[""S0084""]"
T1_022,1,燃油,3000.0,13.5,2,760,12:40:00,1233.875614,20:33:53,277.51347,648.642694,141.111749,0.0,0.0,400.0,"[""S0001"", ""S0008""]"
T1_023,1,燃油,3000.0,13.5,2,771,12:51:00,1217.251713,20:17:15,236.563554,549.169975,119.471531,10.156335,0.0,400.0,"[""S0002"", ""S0101""]"
T1_024,1,燃油,3000.0,13.5,1,772,12:52:00,1253.841284,20:53:50,116.383674,276.818676,60.221703,93.057631,0.011343,400.0,"[""S0003""]"
T1_025,1,燃油,3000.0,13.5,2,780,13:00:00,1139.21567,18:59:13,186.735899,426.276581,92.736162,0.0,0.0,400.0,"[""S0054"", ""S0085""]"
T1_026,1,燃油,3000.0,13.5,2,780,13:00:00,1242.503425,20:42:30,268.017867,621.524536,135.212214,0.0,0.0,400.0,"[""S0056"", ""S0102""]"
T1_027,1,燃油,3000.0,13.5,3,780,13:00:00,1343.727744,22:23:44,252.32982,577.451649,125.624189,0.0,0.0,400.0,"[""S0080"", ""S0100"", ""S0006""]"
T1_028,1,燃油,3000.0,13.5,2,780,13:00:00,1367.019958,22:47:01,340.947229,787.449104,171.308983,0.0,0.0,400.0,"[""S0087"", ""S0034""]"
T1_029,1,燃油,3000.0,13.5,2,780,13:00:00,1137.165763,18:57:10,217.133255,502.246047,109.263265,0.0,0.0,400.0,"[""S0088"", ""S0059""]"
T1_030,1,燃油,3000.0,13.5,1,780,13:00:00,1248.371478,20:48:22,103.820794,250.456787,54.486693,98.120571,0.0,400.0,"[""S0089""]"
T1_031,1,燃油,3000.0,13.5,2,794,13:14:00,1227.464114,20:27:28,241.008185,557.599531,121.305375,3.24059,110.500722,400.0,"[""S0060"", ""S0091""]"
T1_032,1,燃油,3000.0,13.5,2,795,13:15:00,1309.233154,21:49:14,289.299846,670.948593,145.964382,0.0,0.0,400.0,"[""S0057"", ""S0028""]"
T1_033,1,燃油,3000.0,13.5,2,800,13:20:00,1131.38655,18:51:23,181.78476,420.982395,91.584416,0.198566,36.330836,400.0,"[""S0062"", ""S0049""]"
T1_034,1,燃油,3000.0,13.5,2,800,13:20:00,1147.334069,19:07:20,202.165258,468.401444,101.900396,0.0,0.0,400.0,"[""S0063"", ""S0043""]"
T1_035,1,燃油,3000.0,13.5,1,939,15:39:00,1387.339497,23:07:20,240.920303,558.695995,121.54391,0.0,340.451553,400.0,"[""S0035""]"
